"IDADE";"SALARIO_ANUAL";"PROPRIEDADE";"ANOS_TRABALHANDO";"MOTIVO_EMPRESTIMO";"PONTUACAO_EMPRESTIMO";"VALOR_EMPRESTIMO";"TAXA_JUROS";"POSSIBILIDADE_INADIMPLENCIA";"RENDA_PERCENTUAL_EMPRESTIMO";"INADIMPLENTE";"SOLICITACAO_CREDITO_CARTAO_DEBITO"
24;65000;"Hipoteca";3.0;"Pagamento de débito";"C";7000;13.61;0;14.6;"Y";3
0;21600;"Alugado";0.0;"Empreendimento";"C";3500;15.58;0;7.3;"N";6
26;30000;"Alugado";11.0;"Médico";"B";5000;0.0;0;10.4;"N";2
25;52000;"Hipoteca";3.0;"Médico";"A";6000;9.32;0;12.5;"N";2
29;90000;"Hipoteca";1.0;"Médico";"A";12000;5.79;0;25.0;"N";9
34;30000;"Alugado";5.0;"Médico";"A";4200;5.79;0;8.8;"N";8
35;88000;"Hipoteca";18.0;"Médico";"B";9800;12.69;0;20.4;"N";10
26;96500;"Alugado";10.0;"Pagamento de débito";"C";8000;13.61;0;16.7;"Y";3
25;31000;"Alugado";0.0;"Pessoal";"A";5000;8.94;0;10.4;"N";2
43;72000;"Alugado";5.0;"Médico";"B";6000;12.42;0;12.5;"N";17
27;100000;"Hipoteca";11.0;"Pessoal";"A";14400;0.0;0;30.0;"N";8
28;60000;"Hipoteca";4.0;"";"";15000;10.37;0;31.2;"N";3
21;74000;"Hipoteca";0.0;"Pagamento de débito";"B";15000;11.99;0;31.2;"N";3
22;29950;"Alugado";0.0;"Melhora do lar";"D";10750;14.11;1;22.4;"N";3
25;125000;"Hipoteca";9.0;"Pessoal";"B";12000;11.11;0;25.0;"N";3
26;38904;"Hipoteca";1.0;"Melhora do lar";"B";10000;12.21;0;20.8;"N";2
21;36000;"Alugado";3.0;"Médico";"C";10000;13.22;0;20.8;"N";4
29;58000;"Alugado";4.0;"Médico";"C";15000;13.16;0;31.2;"Y";5
23;36300;"Alugado";0.0;"Empreendimento";"A";4000;7.68;0;8.3;"N";2
35;100000;"Hipoteca";14.0;"Pessoal";"A";10000;6.62;0;20.8;"N";8
26;152229;"Própria";3.0;"Pessoal";"B";15000;11.36;0;31.2;"N";2
46;48000;"Alugado";1.0;"Educativo";"F";8400;18.54;1;17.5;"N";16
24;29232;"Hipoteca";1.0;"";"B";6000;0.0;1;12.5;"N";3
27;123996;"Hipoteca";11.0;"Médico";"A";6500;8.0;0;13.5;"N";6
39;57996;"Hipoteca";10.0;"Melhora do lar";"A";8000;7.88;0;16.7;"N";16
24;40000;"Alugado";2.0;"Pessoal";"A";8000;6.17;0;16.7;"N";2
37;65000;"Hipoteca";12.0;"Pessoal";"B";11000;9.91;0;22.9;"N";16
23;87000;"Alugado";2.0;"Educativo";"B";18000;11.89;0;37.5;"N";2
28;49000;"Própria";6.0;"Educativo";"B";19000;10.99;0;39.6;"N";7
23;57000;"Alugado";5.0;"Empreendimento";"B";7650;11.71;0;15.9;"N";4
24;21000;"Alugado";2.0;"Médico";"B";1800;10.65;0;3.8;"N";2
22;52000;"Hipoteca";6.0;"Educativo";"C";9750;13.06;0;20.3;"Y";2
23;47000;"Alugado";1.0;"Pessoal";"";5000;0.0;1;10.4;"N";4
40;150000;"";2.0;"Pessoal";"C";2650;9.88;0;5.5;"N";3
37;138000;"Hipoteca";19.0;"Educativo";"D";4000;15.62;0;8.3;"N";12
23;120000;"Hipoteca";0.0;"Pessoal";"D";25000;15.31;0;52.1;"N";3
22;26000;"Alugado";0.0;"Educativo";"B";8000;11.99;1;16.7;"N";4
27;45000;"Hipoteca";7.0;"Pessoal";"A";12000;6.91;0;25.0;"N";8
25;160000;"Hipoteca";1.0;"Pessoal";"B";12000;9.63;0;25.0;"N";4
27;34000;"Alugado";0.0;"Pagamento de débito";"A";6000;6.99;0;12.5;"N";6
39;24000;"Alugado";0.0;"Médico";"B";2000;10.99;0;4.2;"N";11
27;62900;"Hipoteca";1.0;"Médico";"B";8000;11.46;1;16.7;"N";8
29;31400;"Alugado";3.0;"Médico";"B";10400;10.71;1;21.7;"N";7
24;32000;"Alugado";4.0;"Médico";"A";12000;7.51;1;25.0;"N";2
36;64000;"Alugado";0.0;"Educativo";"D";10000;15.28;1;20.8;"Y";12
22;36000;"Alugado";1.0;"Educativo";"A";1000;8.59;0;2.1;"N";4
27;95800;"Alugado";1.0;"Pagamento de débito";"B";2500;11.58;0;5.2;"N";9
34;6153846;"";18.0;"Pagamento de débito";"C";8000;7.51;0;16.7;"N";2
44;60000;"Hipoteca";4.0;"Melhora do lar";"B";15000;0.0;0;31.2;"N";13
0;64000;"Alugado";9.0;"Melhora do lar";"C";2600;11.49;0;5.4;"N";4
21;81600;"Hipoteca";6.0;"Educativo";"A";14400;6.92;0;30.0;"N";4
25;52000;"Alugado";3.0;"Pessoal";"D";13000;15.31;0;27.1;"Y";2
24;70000;"Hipoteca";2.0;"Pessoal";"E";12000;17.56;0;25.0;"Y";3
27;48000;"Alugado";2.0;"Educativo";"A";4000;6.03;1;8.3;"N";6
22;64000;"Alugado";7.0;"Empreendimento";"D";13000;14.11;0;27.1;"N";3
22;25992;"Outro";6.0;"";"B";0;0.0;0;0.0;"N";10
39;38400;"Alugado";5.0;"Educativo";"C";3500;12.99;0;7.3;"Y";15
24;39996;"Alugado";1.0;"Médico";"C";7000;13.11;0;14.6;"N";3
30;126000;"Hipoteca";6.0;"Empreendimento";"B";8000;10.74;0;16.7;"N";8
25;42000;"Alugado";3.0;"Empreendimento";"A";18000;6.17;1;37.5;"N";2
22;70000;"Hipoteca";3.0;"Empreendimento";"B";14400;11.71;0;30.0;"N";4
27;98004;"Alugado";8.0;"Melhora do lar";"A";10000;6.54;0;20.8;"N";10
45;64000;"Hipoteca";3.0;"Pessoal";"A";6000;7.29;0;12.5;"N";12
28;140000;"Alugado";3.0;"Educativo";"B";12000;9.91;0;25.0;"N";10
22;42000;"Alugado";0.0;"Pessoal";"C";0;15.23;0;0.0;"Y";3
36;200000;"Hipoteca";8.0;"Médico";"A";14000;7.49;0;29.2;"N";15
23;45600;"Própria";7.0;"Médico";"B";1000;9.62;0;2.1;"N";4
30;98000;"Hipoteca";12.0;"Empreendimento";"B";12000;8.88;0;25.0;"N";7
24;72000;"Alugado";4.0;"Médico";"B";15000;10.99;0;31.2;"N";4
27;48000;"Alugado";0.0;"Médico";"B";10000;10.62;0;20.8;"N";6
25;42996;"Própria";1.0;"Empreendimento";"D";7200;14.11;0;15.0;"N";4
31;84000;"Hipoteca";3.0;"Melhora do lar";"G";25000;17.34;1;52.1;"Y";5
36;30000;"Alugado";0.0;"Empreendimento";"E";4000;17.99;1;8.3;"N";15
35;148000;"Hipoteca";19.0;"Pagamento de débito";"D";25000;14.62;1;52.1;"Y";10
26;105000;"Hipoteca";6.0;"Pagamento de débito";"B";12000;11.99;0;25.0;"N";2
35;52000;"Alugado";2.0;"Médico";"B";3000;11.48;0;6.2;"N";7
31;55000;"Hipoteca";7.0;"Melhora do lar";"A";12000;7.49;0;25.0;"N";5
27;10000;"Alugado";2.0;"Empreendimento";"D";1200;14.11;1;2.5;"Y";6
35;50000;"Hipoteca";5.0;"Melhora do lar";"C";6000;13.49;0;12.5;"N";6
22;30996;"Alugado";2.0;"Pagamento de débito";"B";8000;11.49;0;16.7;"N";2
30;75000;"Hipoteca";11.0;"Pessoal";"B";5000;0.0;0;10.4;"N";10
21;65000;"Hipoteca";5.0;"Pagamento de débito";"B";2200;12.42;0;4.6;"N";3
24;29004;"Alugado";4.0;"Educativo";"A";5000;6.92;1;10.4;"N";3
24;63000;"Hipoteca";8.0;"Pessoal";"C";11400;13.79;0;23.8;"N";4
36;60000;"Alugado";2.0;"Melhora do lar";"B";15000;0.0;0;31.2;"N";12
25;75000;"Alugado";0.0;"Educativo";"A";18500;7.49;0;38.5;"N";3
30;48500;"Hipoteca";5.0;"Médico";"A";9350;0.0;0;19.5;"N";7
27;72000;"Alugado";3.0;"Pagamento de débito";"D";25000;15.95;1;52.1;"Y";6
22;54000;"Alugado";2.0;"Pagamento de débito";"B";14125;0.0;0;29.4;"N";4
23;116000;"Alugado";7.0;"Empreendimento";"A";11000;8.94;0;22.9;"N";2
32;30000;"Hipoteca";0.0;"Empreendimento";"A";9000;5.42;0;18.8;"N";9
30;63000;"Alugado";2.0;"Melhora do lar";"A";6000;0.0;0;12.5;"N";7
21;31776;"Hipoteca";5.0;"Empreendimento";"A";6000;8.9;0;12.5;"N";3
24;31200;"Alugado";2.0;"Empreendimento";"C";8400;13.23;0;17.5;"N";3
24;225000;"Alugado";0.0;"Médico";"B";6000;0.0;0;12.5;"N";4
28;22000;"Própria";5.0;"Educativo";"A";8000;6.99;0;16.7;"N";5
22;66300;"Alugado";3.0;"Médico";"D";7500;14.96;1;15.6;"N";2
28;91800;"Hipoteca";1.0;"Médico";"D";15000;15.37;1;31.2;"Y";8
28;200000;"Alugado";1.0;"Médico";"B";24250;12.53;0;50.5;"N";5
24;46000;"Hipoteca";5.0;"Educativo";"B";10000;9.99;0;20.8;"N";2
23;25960;"Alugado";1.0;"Empreendimento";"B";12250;10.37;1;25.5;"N";4
25;68000;"Alugado";4.0;"Pessoal";"B";11200;11.99;0;23.3;"N";2
36;30000;"Alugado";7.0;"Educativo";"B";4000;10.74;0;8.3;"N";12
42;18000;"Alugado";3.0;"Empreendimento";"A";8000;6.91;1;16.7;"N";17
26;130000;"Hipoteca";8.0;"Pessoal";"A";10000;6.03;0;20.8;"N";2
37;85000;"Hipoteca";2.0;"Empreendimento";"A";5600;5.42;0;11.7;"N";13
24;105000;"Alugado";2.0;"Melhora do lar";"C";19000;12.29;0;39.6;"Y";2
21;40116;"Alugado";2.0;"Empreendimento";"A";6500;5.79;0;13.5;"N";3
35;30000;"Hipoteca";3.0;"Melhora do lar";"C";10000;13.43;1;20.8;"N";7
39;31200;"Alugado";2.0;"Educativo";"B";6400;11.49;0;13.3;"N";16
43;68000;"Hipoteca";2.0;"Pessoal";"C";7000;12.61;0;14.6;"N";11
36;79200;"Hipoteca";19.0;"Pessoal";"A";10000;6.03;0;20.8;"N";14
22;69000;"Alugado";2.0;"Empreendimento";"A";6000;7.49;0;12.5;"N";4
36;36000;"Alugado";3.0;"Pagamento de débito";"B";2500;9.76;0;5.2;"N";12
21;7500000;"Alugado";0.0;"Empreendimento";"B";10500;9.63;0;21.9;"N";10
27;40000;"Alugado";4.0;"Pessoal";"D";10000;0.0;0;20.8;"Y";6
22;54000;"Hipoteca";0.0;"Melhora do lar";"A";16000;7.51;1;33.3;"N";2
22;26000;"Hipoteca";0.0;"Educativo";"A";8000;11.49;0;16.7;"N";5
26;74000;"Hipoteca";10.0;"Empreendimento";"B";4475;9.99;0;9.3;"N";4
29;52000;"Alugado";11.0;"Pessoal";"B";4500;9.91;0;9.4;"N";10
29;54000;"Hipoteca";2.0;"Pagamento de débito";"A";5000;7.14;0;10.4;"N";5
24;25000;"Alugado";3.0;"Médico";"A";9450;6.62;1;19.7;"N";4
33;21000;"Alugado";0.0;"";"";12000;10.39;1;25.0;"N";9
23;54000;"Hipoteca";7.0;"Médico";"A";13500;9.63;0;28.1;"N";2
22;26000;"Alugado";5.0;"Pessoal";"D";11200;16.89;1;23.3;"N";3
24;44000;"Hipoteca";0.0;"Médico";"A";4000;0.0;0;8.3;"N";3
27;75000;"Alugado";5.0;"Pessoal";"A";15000;6.91;0;31.2;"N";10
23;65000;"Alugado";0.0;"Educativo";"B";12500;11.48;0;26.0;"N";4
38;67870;"Hipoteca";6.0;"Pagamento de débito";"B";5000;0.0;0;10.4;"N";15
37;68500;"Alugado";2.0;"Pessoal";"A";8000;7.51;0;16.7;"N";16
38;110000;"Própria";6.0;"Empreendimento";"C";12000;12.99;0;25.0;"N";11
32;54000;"Hipoteca";16.0;"Pessoal";"A";11200;6.03;0;23.3;"N";9
23;60000;"Alugado";2.0;"Empreendimento";"B";23000;12.18;1;47.9;"N";4
25;57500;"Hipoteca";5.0;"Médico";"C";12275;0.0;0;25.6;"Y";3
23;33000;"Hipoteca";3.0;"Pessoal";"D";8325;15.99;0;17.3;"N";3
26;9600;"Alugado";4.0;"Empreendimento";"D";2950;17.49;1;6.1;"Y";2
34;160000;"Hipoteca";14.0;"Pagamento de débito";"C";25000;13.49;0;52.1;"N";5
24;35364;"Alugado";1.0;"Médico";"B";20000;12.53;1;41.7;"N";4
29;85000;"Hipoteca";12.0;"Pessoal";"B";25000;9.25;0;52.1;"N";10
23;40000;"Alugado";4.0;"Pagamento de débito";"C";10000;12.84;0;20.8;"N";4
26;130000;"Alugado";2.0;"Pessoal";"A";17950;0.0;0;37.4;"N";2
24;37950;"Alugado";8.0;"Educativo";"B";11000;11.86;0;22.9;"N";2
23;38400;"Hipoteca";2.0;"Pagamento de débito";"D";15000;17.27;1;31.2;"N";3
22;16000;"Alugado";0.0;"Empreendimento";"B";6250;9.91;1;13.0;"N";2
21;53000;"Alugado";5.0;"Educativo";"A";10000;7.51;0;20.8;"N";4
27;42000;"Hipoteca";0.0;"Pessoal";"C";8000;13.61;0;16.7;"Y";9
26;41004;"Alugado";2.0;"Médico";"B";3000;11.14;0;6.2;"N";2
33;132444;"Alugado";4.0;"Educativo";"B";0;13.98;0;0.0;"Y";2
48;70000;"Hipoteca";2.0;"Melhora do lar";"A";21600;7.51;0;45.0;"N";11
30;49000;"Própria";7.0;"Pessoal";"B";8500;12.18;0;17.7;"N";8
21;35760;"Hipoteca";5.0;"Melhora do lar";"E";2400;0.0;1;5.0;"N";3
22;60000;"Hipoteca";6.0;"Educativo";"D";2500;15.99;0;5.2;"N";3
25;39000;"Alugado";9.0;"Empreendimento";"D";15200;16.0;1;31.7;"N";3
27;68000;"Alugado";4.0;"Melhora do lar";"A";8700;7.88;0;18.1;"N";5
23;50000;"Alugado";7.0;"Pessoal";"A";15000;7.88;0;31.2;"N";4
24;69000;"Alugado";2.0;"Pagamento de débito";"B";16000;11.89;1;33.3;"N";4
29;114000;"Hipoteca";11.0;"Médico";"A";14000;0.0;0;29.2;"N";6
22;38000;"Alugado";0.0;"Educativo";"B";2000;11.36;0;4.2;"N";3
25;52000;"Hipoteca";8.0;"Melhora do lar";"B";14500;10.65;0;30.2;"N";4
35;180000;"Hipoteca";6.0;"Pagamento de débito";"A";8500;6.92;0;17.7;"N";8
30;144000;"Hipoteca";7.0;"Médico";"A";6000;8.49;0;12.5;"N";8
27;15085;"Alugado";2.0;"Empreendimento";"A";5500;5.99;1;11.5;"N";8
23;40000;"Alugado";0.0;"Empreendimento";"A";10000;7.9;0;20.8;"N";3
28;78000;"Alugado";5.0;"Empreendimento";"B";12000;10.62;0;25.0;"N";10
22;42000;"Hipoteca";4.0;"Pessoal";"A";7050;0.0;0;14.7;"N";4
22;38000;"Hipoteca";6.0;"Pagamento de débito";"A";8500;5.42;0;17.7;"N";2
26;58000;"Alugado";9.0;"Pessoal";"B";10500;11.48;0;21.9;"N";2
34;564000;"Alugado";2.0;"Médico";"A";6000;7.14;0;12.5;"N";5
24;47000;"Hipoteca";1.0;"Pagamento de débito";"B";8500;0.0;0;17.7;"N";3
29;120000;"Hipoteca";2.0;"Melhora do lar";"B";6900;10.65;0;14.4;"N";6
22;66000;"Alugado";0.0;"Empreendimento";"C";3300;14.65;0;6.9;"Y";2
22;130000;"Hipoteca";3.0;"Pagamento de débito";"C";14500;0.0;0;30.2;"N";2
25;55000;"Alugado";1.0;"Médico";"A";7200;7.9;0;15.0;"N";2
25;72500;"Hipoteca";3.0;"Empreendimento";"D";16000;15.28;1;33.3;"Y";4
32;45000;"Hipoteca";2.0;"Médico";"C";8000;14.65;0;16.7;"N";8
26;30000;"Alugado";8.0;"Educativo";"A";9000;5.99;1;18.8;"N";2
21;70000;"Alugado";5.0;"Pessoal";"A";14000;6.99;0;29.2;"N";3
28;12000;"Alugado";0.0;"Pessoal";"C";2400;12.68;1;5.0;"Y";8
26;85000;"Hipoteca";3.0;"Educativo";"D";10000;14.09;0;20.8;"N";2
36;37008;"Alugado";8.0;"Empreendimento";"C";6000;14.79;0;12.5;"Y";14
29;38000;"Hipoteca";3.0;"Educativo";"D";6000;15.21;0;12.5;"Y";9
22;66000;"Alugado";3.0;"Pagamento de débito";"D";20000;14.42;1;41.7;"N";2
36;19200;"Alugado";0.0;"Pagamento de débito";"B";1200;9.62;0;2.5;"N";14
24;108000;"Hipoteca";8.0;"Pagamento de débito";"A";4200;0.0;0;8.8;"N";3
23;83600;"Alugado";7.0;"";"A";10000;0.0;0;20.8;"";3
40;48000;"Alugado";1.0;"Empreendimento";"B";6000;10.08;0;12.5;"N";13
28;55000;"Hipoteca";4.0;"Empreendimento";"B";10650;11.58;0;22.2;"N";8
27;37000;"Alugado";0.0;"Médico";"B";9000;11.11;0;18.8;"N";5
22;15000;"Alugado";0.0;"Empreendimento";"D";5000;0.0;1;10.4;"Y";4
40;85000;"Hipoteca";4.0;"Melhora do lar";"C";5000;14.27;0;10.4;"N";16
23;69743;"Hipoteca";7.0;"Pessoal";"D";1000;14.11;0;2.1;"N";3
22;52800;"Hipoteca";6.0;"Pessoal";"A";7000;6.76;0;14.6;"N";2
23;75000;"Alugado";3.0;"Pessoal";"B";10000;11.86;0;20.8;"N";2
25;44000;"Alugado";1.0;"Médico";"D";8000;12.92;1;16.7;"N";2
42;60000;"Alugado";3.0;"Melhora do lar";"A";7200;5.79;0;15.0;"N";11
25;26729;"Alugado";5.0;"Empreendimento";"B";7300;11.14;0;15.2;"N";4
33;59000;"Hipoteca";6.0;"Melhora do lar";"B";5500;9.91;0;11.5;"N";9
21;28692;"Hipoteca";5.0;"Educativo";"B";3000;10.75;0;6.2;"N";2
31;100000;"Alugado";5.0;"Empreendimento";"A";10000;0.0;0;20.8;"N";8
28;206000;"Alugado";2.0;"Educativo";"C";24000;0.0;0;50.0;"Y";5
21;60000;"Alugado";0.0;"Pessoal";"A";12000;7.51;0;25.0;"N";3
23;14000;"Alugado";0.0;"Pagamento de débito";"C";1500;0.0;0;3.1;"Y";4
63;1782000;"Alugado";13.0;"Educativo";"C";12025;14.27;0;25.1;"N";30
25;60000;"Alugado";6.0;"Empreendimento";"B";2400;11.49;0;5.0;"N";3
30;35000;"Alugado";5.0;"Pessoal";"B";1000;10.36;0;2.1;"N";6
23;60000;"Alugado";2.0;"Pagamento de débito";"B";8000;0.0;0;16.7;"N";3
25;33600;"Alugado";6.0;"Médico";"B";5600;9.25;0;11.7;"N";3
29;21000;"Alugado";2.0;"Educativo";"B";9250;0.0;0;19.3;"Y";2
29;150000;"Hipoteca";14.0;"Empreendimento";"A";12000;5.42;0;25.0;"N";9
23;17688;"Alugado";0.0;"Pessoal";"B";1700;11.11;0;3.5;"N";3
26;51356;"Alugado";4.0;"Pagamento de débito";"A";6000;5.79;0;12.5;"N";4
21;200000;"Hipoteca";2.0;"Pagamento de débito";"C";25000;13.99;0;52.1;"N";2
24;85000;"Hipoteca";1.0;"Pagamento de débito";"A";12000;7.88;0;25.0;"N";3
25;76700;"Hipoteca";1.0;"Empreendimento";"E";14800;19.42;0;30.8;"Y";4
24;56000;"Hipoteca";5.0;"Médico";"A";17400;5.99;0;36.2;"N";2
26;30000;"Própria";3.0;"Educativo";"B";7500;11.14;0;15.6;"N";3
22;87800;"Alugado";3.0;"Médico";"B";15000;11.36;0;31.2;"N";4
23;47000;"Alugado";8.0;"Pagamento de débito";"B";17000;9.99;1;35.4;"N";4
35;56472;"Alugado";5.0;"Melhora do lar";"D";11300;14.42;0;23.5;"N";7
31;75000;"Hipoteca";6.0;"Empreendimento";"A";3000;8.49;0;6.2;"N";5
32;72000;"Alugado";6.0;"Melhora do lar";"B";4000;10.0;0;8.3;"N";6
24;154000;"Hipoteca";8.0;"Pagamento de débito";"A";6000;5.79;0;12.5;"N";4
25;45000;"Hipoteca";7.0;"Educativo";"A";7500;8.0;0;15.6;"N";3
22;72000;"Hipoteca";6.0;"Educativo";"E";8000;16.45;0;16.7;"N";4
32;74000;"Hipoteca";0.0;"Pessoal";"A";1800;8.94;0;3.8;"N";10
23;42000;"Hipoteca";2.0;"Educativo";"B";5200;10.25;0;10.8;"N";4
31;45996;"Alugado";10.0;"Empreendimento";"C";8800;12.84;0;18.3;"Y";10
28;68666;"Alugado";7.0;"Pagamento de débito";"B";21000;12.69;1;43.8;"N";8
22;30000;"Própria";0.0;"Educativo";"B";5125;10.0;0;10.7;"N";3
25;99473;"Hipoteca";9.0;"Pessoal";"B";8500;11.58;0;17.7;"N";2
30;57000;"Alugado";4.0;"Empreendimento";"C";7500;14.27;0;15.6;"N";5
30;67000;"Hipoteca";6.0;"Melhora do lar";"A";10000;6.99;0;20.8;"N";6
